warehouse_id,warehouse_name,location,capacity_units,manager_name
WH001,Jeffreybury Warehouse,"Lake Christinafurt, BS",94322,Eric Potter
WH002,New Chelseaberg Warehouse,"South Judy, RS",52592,Shelly Howe
WH003,West Melindafurt Warehouse,"North Kimberly, SK",53806,Chris Goodman
WH004,Jasonland Warehouse,"Alexanderside, MK",68455,Victoria Heath
WH005,Jonesberg Warehouse,"Lake Davidfurt, TT",45759,Micheal Porter
WH006,Michaelstad Warehouse,"Rowlandtown, LV",28816,Robin Doyle
WH007,South Larry Warehouse,"South Donald, IS",95052,Susan Rivera
WH008,New Michael Warehouse,"Joshuachester, PE",50714,Bradley Higgins
WH009,Larsonchester Warehouse,"West Sierrafurt, SI",73735,Karen Acevedo
WH010,North Audreyberg Warehouse,"North Jeffrey, GM",80668,Travis Perez
WH011,Andrewport Warehouse,"Berryville, MY",77155,Dr. Hayden Evans PhD
WH012,Lake Justinberg Warehouse,"Port Angelaland, SR",96532,Angela Miller
WH013,Zunigashire Warehouse,"Whitechester, DO",51386,Ivan Martinez
WH014,East Darrenberg Warehouse,"East Connorfort, JP",44578,Hannah Martin
WH015,Karenview Warehouse,"Lake Timothymouth, PL",50914,Dawn Kirk
WH016,West Angela Warehouse,"Clarkberg, LK",64275,Ricky Baker
WH017,West Teresa Warehouse,"Johnsonfort, LK",48338,William Miller
WH018,East Julieborough Warehouse,"Roberthaven, LR",92554,Brady Lucas MD
WH019,West Heidifurt Warehouse,"Clarkmouth, HU",31573,Amber Mcneil
WH020,Mendezberg Warehouse,"West John, VU",39841,Katie Humphrey
